City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
362,Manoel Urbano,GA,82.96,clear sky,-8.8389,-69.2597,Baixada Beira Rio
366,Tubuala,GA,75.85,overcast clouds,9.5167,-79.0333,
367,Jalu,GA,77.97,clear sky,29.0331,21.5482,صاحبة الفخامة
368,Surt,GA,78.8,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
370,Amapa,GA,77.83,overcast clouds,1.0,-52.0,
371,Les Cayes,GA,84.54,broken clouds,18.2,-73.75,Villa Orphee
376,Dicabisagan,GA,80.04,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
377,Kavaratti,GA,80.92,overcast clouds,10.5669,72.642,Green leaf
380,Iraucuba,GA,78.22,broken clouds,-3.7461,-39.7833,Hotel Terra da Amizade
385,Tutoia,GA,77.94,broken clouds,-2.7619,-42.2744,Pousada Guará's
386,Pochutla,GA,89.42,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
391,Luebo,GA,78.31,broken clouds,-5.35,21.4167,
393,Bambanglipuro,GA,75.13,overcast clouds,-7.95,110.2833,Puri Brata
394,Soure,GA,78.31,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
397,Lorengau,GA,82.58,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
398,Ponferrada,GA,75.27,scattered clouds,42.5466,-6.5962,Hotel Temple Ponferrada
400,Dauphin,GA,77.14,scattered clouds,51.1494,-100.0502,Canway Inn & Suites
403,Half Moon Bay,GA,89.58,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
407,Papara,GA,75.6,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
408,Pyay,GA,77.67,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
416,Kuching,GA,75.42,moderate rain,1.55,110.3333,Hilton Kuching
417,Poros,GA,77.86,clear sky,37.4994,23.4536,New Aegli Resort Hotel
422,Bathsheba,GA,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
426,Sibolga,GA,75.6,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
427,Maceio,GA,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
428,Marbella,GA,80.26,few clouds,36.5154,-4.8858,El Fuerte Marbella
430,Samarai,GA,80.35,few clouds,-10.6167,150.6667,Nuli Sapi
431,Honiara,GA,83.16,broken clouds,-9.4333,159.95,Heritage Park Hotel
434,Guerrero Negro,GA,79.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
436,Sale,GA,75.88,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
437,Kidal,GA,87.98,broken clouds,18.4411,1.4078,
438,Nizwa,GA,84.97,broken clouds,22.9333,57.5333,Orient Apartments
444,Sherghati,GA,82.98,light rain,24.5667,84.7833,Mamu Hotal
450,Sakaiminato,GA,76.98,broken clouds,35.55,133.2333,Italian pasley
451,Hambantota,GA,78.84,overcast clouds,6.1241,81.1185,Bungalow 63
454,Shingu,GA,82.11,clear sky,33.7333,135.9833,Shingu UI Hotel
455,Fonte Boa,GA,77.72,overcast clouds,-2.4959,-66.2662,
468,Brigantine,GA,89.8,light rain,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
469,The Valley,GA,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
470,Cap-Haitien,GA,82.22,scattered clouds,19.7578,-72.2042,Habitation Jouissant
474,Maragheh,GA,75.16,clear sky,37.3917,46.2398,Maragheh Grand Hotel
475,Shellbrook,GA,76.23,scattered clouds,53.2168,-106.4011,Shellbrook Hotel
477,Puerto Colombia,GA,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
481,Hobyo,GA,75.72,few clouds,5.3505,48.5268,Iftin hotel hobyo
486,Sinjar,GA,85.55,clear sky,36.3209,41.8754,زوماني فون 1
487,Pandharpur,GA,76.15,overcast clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
489,Huangmei,GA,80.55,broken clouds,30.1924,116.025,Tianxiachan Hotel
491,Kenmore,GA,87.76,clear sky,47.7573,-122.244,Holiday Inn Express Bothell
493,Port Moresby,GA,77.27,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
495,Marsh Harbour,GA,83.82,few clouds,26.5412,-77.0636,Abaco Beach Resort
499,San Felipe,GA,80.8,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
502,Santa Cruz,GA,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
506,Tateyama,GA,81.1,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
507,Shieli,GA,89.26,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
