City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
132,Pitogo,GA,13.7847,122.0881,78.21,89,26,3.13,scattered clouds
133,Santa Rosa,GA,14.3122,121.1114,79.02,86,52,3.51,broken clouds
134,Gelemso,GA,8.8167,40.5167,59.95,83,66,5.06,broken clouds
135,Lufilufi,GA,-13.8745,-171.5986,83.79,73,30,17,scattered clouds
136,Touros,GA,-5.1989,-35.4608,76.14,82,100,9.1,overcast clouds
137,Beidao,GA,34.5686,105.8933,60.08,96,100,1.16,overcast clouds
138,Pisco,GA,-13.7,-76.2167,62.65,77,100,14.97,overcast clouds
139,Boysun,GA,38.2061,67.1986,81.5,21,0,4.92,clear sky
140,Zhezkazgan,GA,47.8043,67.7144,75.63,38,17,9.69,few clouds
141,Chapais,GA,49.7834,-74.8492,67.78,90,100,13.15,overcast clouds
142,Severodvinsk,GA,64.5635,39.8302,57.31,91,9,5.64,clear sky
143,Vagur,GA,61.4732,-6.8119,49.89,86,15,1.99,few clouds
144,Bilibino,GA,68.0546,166.4372,45.12,59,98,6.13,overcast clouds
145,Bontang,GA,0.1333,117.5,78.1,85,73,1.61,broken clouds
146,Giyani,GA,-23.3025,30.7187,60.91,81,9,3.24,light rain
147,Ribeira Grande,GA,38.5167,-28.7,73.78,85,48,2.46,scattered clouds
148,Sao Filipe,GA,14.8961,-24.4956,74.97,86,90,6.42,overcast clouds
149,Rodrigues Alves,GA,-7.738,-72.6509,84.2,52,24,1.79,few clouds
150,Coralville,GA,41.6764,-91.5805,90.9,50,0,16.11,clear sky
151,Ozinki,GA,51.1786,49.6769,63.39,81,70,5.99,light rain
152,Hue,GA,16.4667,107.6,77.11,94,20,2.3,few clouds
153,Talca,GA,-35.4333,-71.6667,53.26,86,25,3.6,scattered clouds
154,Eirunepe,GA,-6.6603,-69.8736,83.46,59,66,1.86,broken clouds
155,Severo-Kurilsk,GA,50.6789,156.125,53.64,96,100,25.55,heavy intensity rain
156,Butaritari,GA,3.0707,172.7902,81.12,74,62,5.91,broken clouds
157,Qaqortoq,GA,60.7167,-46.0333,49.75,78,9,6.17,clear sky
158,Betioky,GA,-23.7167,44.3833,64.8,62,33,6.13,scattered clouds
159,Hasaki,GA,35.7333,140.8333,81.28,89,78,16.96,broken clouds
160,Barrow,GA,71.2906,-156.7887,46.42,76,40,26.46,scattered clouds
161,Saint-Philippe,GA,-21.3585,55.7679,65.21,84,52,13.27,light rain
162,Avigliana,GA,45.0771,7.3986,83.79,52,0,6.51,clear sky
163,Yining,GA,29.0361,114.5636,77.92,89,92,2.01,overcast clouds
164,Zafra,GA,38.4167,-6.4167,81.63,24,74,6.2,broken clouds
165,Mar Del Plata,GA,-38.0023,-57.5575,51.1,60,0,5.75,clear sky
166,Provideniya,GA,64.3833,-173.3,42.91,87,100,17.9,light rain
167,Los Llanos De Aridane,GA,28.6585,-17.9182,67.75,83,20,16.11,few clouds
168,Tarpon Springs,GA,28.1461,-82.7568,91.96,70,0,5.99,clear sky
169,Shengjin,GA,41.8136,19.5939,75.7,58,0,4.63,clear sky
170,Dunedin,GA,-45.8742,170.5036,48.79,90,93,1.01,overcast clouds
171,Torbay,GA,47.6666,-52.7314,73.89,73,87,4,overcast clouds
172,Mahoba,GA,25.2833,79.8667,81.39,82,100,5.93,overcast clouds
173,Miri,GA,4.4148,114.0089,74.7,97,97,6.58,overcast clouds
174,San Cristobal,GA,7.7669,-72.225,71.78,71,87,5.23,overcast clouds
175,Innisfail,GA,-17.5333,146.0333,65.7,86,6,4.9,clear sky
176,Dasoguz,GA,41.8363,59.9666,92.19,17,0,7.99,clear sky
177,Taveta,GA,-3.3963,37.6736,65.3,78,77,5.35,broken clouds
178,Dalvik,GA,65.9702,-18.5286,52.39,80,100,1.81,overcast clouds
179,Kutum,GA,14.2,24.6667,75.09,57,96,6.51,overcast clouds
180,Nanortalik,GA,60.1432,-45.2371,50.25,75,2,9.75,clear sky
181,Saint-Augustin,GA,51.226,-58.6502,71.46,51,87,6.98,overcast clouds
182,Chuy,GA,-33.6971,-53.4616,52.25,89,90,7.38,overcast clouds
183,Dumka,GA,24.2667,87.25,81.5,83,100,5.03,overcast clouds
184,Chadiza,GA,-14.0678,32.4392,58.82,65,26,3.4,scattered clouds
185,Praya,GA,14.9215,-23.5087,75.94,84,85,7.02,overcast clouds
186,Hackettstown,GA,40.854,-74.8291,94.46,49,2,5.75,clear sky
187,Esperance,GA,-33.8667,121.9,53.37,78,66,17.49,broken clouds
188,Carnarvon,GA,-24.8667,113.6333,61.02,75,51,17.31,broken clouds
189,San Patricio,GA,28.017,-97.5169,97.16,44,17,19.46,few clouds
190,Ilulissat,GA,69.2167,-51.1,51.82,82,100,8.05,overcast clouds
